id,name,parent_id/id
__import__.pc_39f6c67a3c309b1839ef,Latexhandschuhe,__import__.pc_5a0c37f791cea27175ca
__import__.pc_713a020a90066ce1af81,"PE - Handschuhe, latexfrei",__import__.pc_5a0c37f791cea27175ca
__import__.pc_1670af35ce6c90d13fd2,"Nitrilhandschuhe, latexfrei",__import__.pc_5a0c37f791cea27175ca
__import__.pc_55a50690ee4858cd63f5,Zubehör,__import__.pc_5a0c37f791cea27175ca
__import__.pc_c0411fcf6e26765cbcb8,Digitale Blutdruckmessgeräte,__import__.pc_76bf90520718118fca2c
__import__.pc_fdeb36b4a7eca028431e,Manuelle Blutdruckmessgeräte,__import__.pc_76bf90520718118fca2c
__import__.pc_bb1abd1fb5e6285eea3b,Blutdruckmessgeräte - Zubehör,__import__.pc_76bf90520718118fca2c
__import__.pc_8c0e70d7a76a83e46c5c,Otoskope und Zubehör,__import__.pc_dec2249135401803a0dd
__import__.pc_498c38442e58d193e76a,Diagnostik-Sets,__import__.pc_dec2249135401803a0dd
__import__.pc_a38e62c12cdf154c4608,Diagnostikleuchten,__import__.pc_dec2249135401803a0dd
__import__.pc_5c338e77246a51f177d2,Ohrtipps und Zubehör,__import__.pc_dec2249135401803a0dd
__import__.pc_c7013f29b77037b1809e,Ersatzlampen und Batterien,__import__.pc_dec2249135401803a0dd
__import__.pc_75d30c4e17ddca9aa7f4,Irislupen,__import__.pc_78859794a1feb81de51f
__import__.pc_e89eae0cb2bbbf93e3b0,IriScope,__import__.pc_78859794a1feb81de51f
__import__.pc_1f9bbccb2c2a83eee198,Lehrbücher zur Iris / Augendiagnose,__import__.pc_78859794a1feb81de51f
__import__.pc_ffc79e8ad7a883544b64,Irismikroskope,__import__.pc_78859794a1feb81de51f
__import__.pc_a8278c68dbbfb3c5ee6e,weitere Stethoskope,__import__.pc_baeb903eb78d0c504992
__import__.pc_b35498975b0d1cc88280,Luxamed - Stethoskope,__import__.pc_baeb903eb78d0c504992
__import__.pc_b7da44736b723a5a3384,Littmann - Stethoskope,__import__.pc_baeb903eb78d0c504992
__import__.pc_f59c0b02b44ccc936317,Digitale Thermometer,__import__.pc_72de899621a7da187a8d
__import__.pc_59a0c2c72275750d4db9,Zubehör,__import__.pc_72de899621a7da187a8d
__import__.pc_d8dee266f536d314bb88,Diagnosewaagen,__import__.pc_905ae7b9ce8d1cd9371e
__import__.pc_c38c06fcc6b1ddab7b3f,Globuliwaagen,__import__.pc_905ae7b9ce8d1cd9371e
__import__.pc_8bff7a6b48efc42e234f,"Winkelmesser, Maßband, Hautmarker",__import__.pc_905ae7b9ce8d1cd9371e
__import__.pc_5200cbbf35a9e27f5fb7,Personenwaagen,__import__.pc_905ae7b9ce8d1cd9371e
__import__.pc_f96260a63ef5633ee4bc,Rückenmessung,__import__.pc_905ae7b9ce8d1cd9371e
__import__.pc_1602c7af33bf5e6b4c9e,EKG-Gerät,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_bf16c5dbfcd9ad6df668,Plessimeter,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_57c08c3096602c046b58,Reflexhämmer,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_407a370f1afb605020da,Spirometer und Zubehör,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_b32687c2df45a3256247,Stimmgabeln,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_51eb8f6d995788ca22f2,SpO2 - Meter,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_e8a19a4b5bae65f27c3e,Pulsdiagnostik,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_f47877f8dfd4f8cf9f7a,Taschendoppler,__import__.pc_3473b8b9b955f542f0d3
__import__.pc_0aed4edb77e65e997d9c,Software-Programme / Varianten,__import__.pc_ffb3631595a4b2d68099
__import__.pc_a612c32e6bb144ec4c16,Software-Module,__import__.pc_ffb3631595a4b2d68099
__import__.pc_2b8336ee9b3d193fcad8,Interface / Laser,__import__.pc_ffb3631595a4b2d68099
__import__.pc_5ba2aca771e9d548cdba,Zubehör,__import__.pc_ffb3631595a4b2d68099
__import__.pc_9e982b7a06231780a46e,Einmal-Pinzetten,__import__.pc_51c52307a3eac83037a6
__import__.pc_b3cfe8b0b96d112bd5a0,Einmal-Skalpelle,__import__.pc_51c52307a3eac83037a6
__import__.pc_404884461fe9777b4f8b,Mundschutz,__import__.pc_51c52307a3eac83037a6
__import__.pc_00df590ad3f89ad48070,Mundspatel,__import__.pc_51c52307a3eac83037a6
__import__.pc_8c86f795b0b01063df61,Nierenschalen,__import__.pc_51c52307a3eac83037a6
__import__.pc_46994c7400292adcbb59,Ultraschallgel,__import__.pc_51c52307a3eac83037a6
__import__.pc_89b06d8cbcdf0c0b4a7f,Tupfer,__import__.pc_3cf05977c06f31e796ff
__import__.pc_36307440ec537f7f336a,Wattestäbchen und Spender,__import__.pc_3cf05977c06f31e796ff
__import__.pc_3d99dadaeb0f396418c1,Scheren,__import__.pc_57f4c6f8f8d09f15d423
__import__.pc_fffef43c31accd7c65c9,Watteträger / Tupferzangen,__import__.pc_57f4c6f8f8d09f15d423
__import__.pc_1475f10f9ab5823f7e55,Pinzetten,__import__.pc_57f4c6f8f8d09f15d423
__import__.pc_021afca6e744d0bcc8d8,"Therapiehocker rund, eckig",__import__.pc_9b494ea1948e95a647fe
__import__.pc_9fff66cf45a901686546,Holzhocker,__import__.pc_9b494ea1948e95a647fe
__import__.pc_8d68cb884812f6538e49,Rundhocker,__import__.pc_9b494ea1948e95a647fe
__import__.pc_61a40eccfe4066c51d6a,Rundhocker mit Rückenlehne,__import__.pc_9b494ea1948e95a647fe
__import__.pc_4bc412e4616c19aab40e,"Polsterhocker, keilform",__import__.pc_9b494ea1948e95a647fe
__import__.pc_20c174e8f1bf427d6686,Sattelsitzhocker,__import__.pc_9b494ea1948e95a647fe
__import__.pc_11812f55a054b85bd9cd,Hippo-Hocker,__import__.pc_9b494ea1948e95a647fe
__import__.pc_cc25f7e440b719ccbcde,Reitersattelhocker,__import__.pc_9b494ea1948e95a647fe
__import__.pc_8f187678c4ad57675385,Dreiviertelrollen,__import__.pc_51dbeca2df96f40d8593
__import__.pc_e2207862ec28220db4d2,Halbrollen,__import__.pc_51dbeca2df96f40d8593
__import__.pc_ce20908261d34009cb37,Kissen,__import__.pc_51dbeca2df96f40d8593
__import__.pc_de7af9986026ab1e15a5,Lagerungskeile,__import__.pc_51dbeca2df96f40d8593
