ManusLfdNr,default_code,name,list_price,standard_price,categ_id/id,uom_id,uom_po_id,active,sale_ok,purchase_ok,type
ANH139062,ANH139062,Heine Scientific Bandscheibenvorfallmodell,19.9,19.9,__import__.pc_65b195ebd2dd9fbd2aff,Units,Units,True,True,True,consu
ANH495121,ANH495121,Heine Scientific¨Menschliches Skelett,169.0,169.0,__import__.pc_bd1f1c3165671305e1a8,Units,Units,True,True,True,consu
ANI7S2,ANI7S2,"GŸdeltuben, -grŸn-",1.0,0.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANI7S3,ANI7S3,"GŸdeltuben, -gelb-",1.0,0.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANI7S4,ANI7S4,GŸdeltuben -rot-,1.0,0.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANI7S5,ANI7S5,"GŸdeltuben, -orange-",1.0,0.0,__import__.pc_a116a2b036c888f84ee3,Units,Units,True,True,True,consu
ANIGN0048,ANIGN0048,Klettenmanschette Contec 18-26 cm,1.0,0.0,__import__.pc_5ba2aca771e9d548cdba,Units,Units,True,True,True,consu
ANK00024207,ANK00024207,Heine kleine Kontaktscheibe DELTAOne,114.48,114.48,__import__.pc_5ba2aca771e9d548cdba,Units,Units,True,True,True,consu
ANK00034206,ANK00034206,Heine kleine Kontaktscheibe Delta 30,106.53,106.53,__import__.pc_5ba2aca771e9d548cdba,Units,Units,True,True,True,consu
ANK00034273,ANK00034273,Universal Smartphone Adapter Mag,73.7,73.7,__import__.pc_5ba2aca771e9d548cdba,Units,Units,True,True,True,consu
ANK21028305,ANK21028305,"Heine DELTAone Standard Edition, schwarz-silber",751.68,751.68,__import__.pc_1308b5c2d030a1946319,Units,Units,True,True,True,consu
ANK23028305,ANK23028305,Heine DELTA 30,1534.0,1534.0,__import__.pc_1308b5c2d030a1946319,Units,Units,True,True,True,consu
ANK23528305,ANK23528305,Heine DELTA 30 PRO Dermatoskop,1190.88,1190.88,__import__.pc_1308b5c2d030a1946319,Units,Units,True,True,True,consu
ANKO1NEO AQUA,ANKO1NEO AQUA,Zellamed Kinder-Universalstethoskop Kosmolit NEO,58.25,58.25,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANKO1NEO LAV,ANKO1NEO LAV,Zellamed Kinderstethoskop Kosmolit Neo,52.95,52.95,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANKO1NEOSCHW,ANKO1NEOSCHW,Zellamed Kinder-Universalstethoskop Kosmolit NEO,58.25,58.25,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANKO2 AQUA,ANKO2 AQUA,"Zellamed Stethoskop Kosmolit S3, 45 mm",58.25,58.25,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANKONEO ROT,ANKONEO ROT,Zellamed Kinder-Universalstethoskop Kosmolit NEO,58.25,58.25,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANKONEO ROY,ANKONEO ROY,Zellamed Kinder-Universalstethoskop Kosmolit NEO,52.95,52.95,__import__.pc_baeb903eb78d0c504992,Units,Units,True,True,True,consu
ANM00009230,ANM00009230,Heine Blutdruckmessgerät Gamma G5,1.0,0.0,__import__.pc_76bf90520718118fca2c,Units,Units,True,True,True,consu
ANM00009554,ANM00009554,Heine Blutdruckmessgerät Gamma G7,1.0,0.0,__import__.pc_76bf90520718118fca2c,Units,Units,True,True,True,consu
ANM00009942,ANM00009942,Stethoskop Gamma 3.2 Akustik,1.0,0.0,__import__.pc_76bf90520718118fca2c,Units,Units,True,True,True,consu
ANM1.121.112,ANM1.121.112,"Reflexhammer nach Buck, -schwarz-",1.0,0.0,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1.131.914,ANM1.131.914,"Reflexhammer KIDS, -wei§-",1.0,0.0,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1111112,ANM1111112,"Luxamed Reflexhammer nach Trämner, -schwarz-",30.7,30.7,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1111915,ANM1111915,"Luxamed Reflexhammer nach Trämner, - weiss -",30.7,30.7,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1121312,ANM1121312,"Luxamed Reflexhammer nach Buck, - zartflieder -",1.0,0.0,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1121412,ANM1121412,"Luxamed Reflexhammer nach Buck, - jadegrŸn -",24.9,24.9,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1121513,ANM1121513,"Luxamed Reflexhammer nach Buck, - rapsgelb -",24.9,24.9,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1121612,ANM1121612,"Luxamed Reflexhammer nach Buck, - magenta -",24.9,24.9,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1121812,ANM1121812,"Luxamed Reflexhammer nach Buck, - blau -",24.9,24.9,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM1121914,ANM1121914,"Luxamed Reflexhammer nach Buck, - weiss-",24.9,24.9,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM131914KI,ANM131914KI,"Luxamed Reflexhammer nuch Buck, KIDS, - weiss -",17.1,17.1,__import__.pc_57c08c3096602c046b58,Units,Units,True,True,True,consu
ANM160012,ANM160012,Affe mit OP-Kleidung M140820,3.99,3.99,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANM160031,ANM160031,Giraffe  mit OP-Kleidung M140820,4.1,4.1,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANM160656,ANM160656,Bär beige o. dunkelbraun in OP Kleidung,3.23,3.23,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANM160894,ANM160894,Einhorn in OP-Kleidung M 140820,3.23,3.23,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANM1880600107,ANM1880600107,Ear Clip Sensor,1.0,0.0,__import__.pc_e234fc8c633dabae03f2,Units,Units,True,True,True,consu
ANM9000041,ANM9000041,Pulsoximeter PC-60E,60.0,60.0,__import__.pc_51eb8f6d995788ca22f2,Units,Units,True,True,True,consu
