Artikelnummer,Matchcode,Mandant,Artikelgruppe,Artikelgruppe_Bezeichnung,Basismengeneinheit,VK1_Preis,EK0_Preis
AN6155,"Stethoskop 3M Littmann, Cardiology IV",1,Idc,Littmann - Stethoskope,Stk,153,153
AN6156,"Stethoskop 3M Littmann, Cardiology IV",1,Idc,Littmann - Stethoskope,Stk,153,153
AN6158,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,153,153
AN6163,"Stethoskop 3M Littmann Cardiology IV,-Black Finish",1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6165,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6168,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6170,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6176,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6177,"Stethoskop 3M Littmann Cardiology IV , Hochglanz",1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6179,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6186C,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6190,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6200,"Stethoskop 3M Littmann Cardiology IV,black Edition",1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6201,"Stethoskop 3M Littmann Cardiology IV,black Edition",1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6202,"Stethoskop 3M Littmann Cardiology IV,- marineblau-",1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6203,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,167.4,167.4
AN6204,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6205,Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Ktn,1,NULL
AN6232,Stethoskop 3M Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6234,Littmann Cardiology IV,1,Idc,Littmann - Stethoskope,Ktn,1,NULL
AN6238,"Stethoskop 3M Littmann Cardiology IV, High",1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6241,"Stethoskop Littmann 3 M Cardiology IV, High",1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN6242,"Stethoskop Littmann 3M Cardiology IV, High Polish",1,Idc,Littmann - Stethoskope,Stk,173.4,173.4
AN63,Goniometer,1,U,Sonstiges,Stk,1,NULL
AN63157,Erste-Hilfe für Betriebe -Verbandstasche,1,Ka,Erste Hilfe,Stk,19.55,19.55
AN64110,Edelstahl-Doppelkopf-Stethoskop Classic 1-Plus,1,Id,Stethoskope,Stk,15,15
AN641110.4,Edelstahl-Doppelkopf-Stethoskop Classic 1-Plus,1,Id,Stethoskope,Stk,15,15
AN641120,"Edelstahl Doppelkopf-Stethoskop, Kinder",1,Id,Stethoskope,Stk,15,15
AN641120.4,"Edelstahl Doppelkopf-Stethoskop, Kinder",1,Id,Stethoskope,Stk,15,15
AN641130,"Edelstahl Doppelkopf-Stethoskop, Säugling 1",1,Id,Stethoskope,Stk,15,15
AN641130.4,"Edelstahl Doppelkopf-Stethoskop, Säugling 1",1,Id,Stethoskope,Stk,15,15
AN700381,"Pean Arterienklemme gerade, Größe 16 cm",1,J,Allgemeiner Praxisbedarf,Stk,4.2,4.2
AN700384,"Pean Arterienklemme gerade, Größe 14,5 cm",1,J,Allgemeiner Praxisbedarf,Stk,5.7,5.7
AN730-PNK,Taschenorganizer Basic -pink-,1,U,Sonstiges,Stk,5.8,5.8
AN730-ROY,Taschenorganizer Basic -blau-,1,U,Sonstiges,Stk,5.8,5.8
AN730-WHT,Taschenorganizer Basic -weiss-,1,U,Sonstiges,Stk,5.8,5.8
AN753,"babinski´s ""Kleine Arzttasche""",1,J,Allgemeiner Praxisbedarf,Stk,22.5,22.5
AN754 PNK,"Stethoskop-Tape Halter, -pink-",1,Ike,Zubehör,Stk,3.9,3.9
AN754-BLK,"Stethoskop-Tape Halter, - schwarz -",1,Ike,Zubehör,Stk,1,NULL
AN754-BLU,"Stethoskop-Tape Halter, - blau -",1,Ike,Zubehör,Stk,1,NULL
AN754-PUR,"Stethoskop-Tape Halter, - lila -",1,Ike,Zubehör,Stk,1,NULL
AN755-BLK,HipClip Stethoskophalter -schwarz-,1,Ike,Zubehör,Stk,3.4,3.4
AN755-LILA,HipClip Stethoskophalter -lila-,1,Iec,Zubehör,Stk,3.4,3.4
AN755-PINK,HipClip Stethoskophalter -pink-,1,Iec,Zubehör,Stk,3.4,3.4
AN755-RED,HipClip Stethoskophalter -rot-,1,Iec,Zubehör,Stk,3.4,3.4
AN755-ROY,HipClip Stethoskophalter -royalblau-,1,Ike,Zubehör,Stk,3.4,3.4
AN755-WHT,HipClip Stethoskophalter weiß,1,Ike,Zubehör,Stk,3.4,3.4
AN771,babinski´s Car-Go-Tasche,1,U,Sonstiges,Stk,13.26,13.26
AN813012111,KaWe Stimmgabel f. Ohrenärzte n. Lucae c 128 Hz,1,Ige,Stimmgabeln,Stk,29.4,29.4
AN853-HPK,Verbandschere bunt - Hot Pink -,1,Jia,Scheren,Stk,3.5,3.5
AN853-HUN,Die exclusive Listerschere -dunkelgrün-,1,Jia,Scheren,Stk,3.5,3.5
AN853-PUR,Verbandschere nach Lister 14cm - lila-,1,Jia,Scheren,Stk,3.5,3.5
AN853-ROY,Schere Royalblau,1,Jia,Scheren,Stk,3.5,3.5
AN853-TEA,Die exclusive Listerschere - petrol -,1,Jia,Scheren,Stk,3.5,3.5
AN8572,"Stethoskop 3M Littmann CORE Digital , -Rainbow-",1,Idc,Littmann - Stethoskope,Stk,279,279
AN870-AQS,Verbandschere bunt - Farbe -Aqua Sea -,1,Jia,Scheren,Stk,3.7,3.7
AN870-BLK,"Verbandschere bunt, -schwarz-",1,Jia,Scheren,Stk,3.7,3.7
AN870-HPK,Verbandschere bunt- Farbe - hot pink -,1,Jia,Scheren,Stk,3.7,3.7
AN870-NAV,Verbandschere bunt - Farbe navy marineblau -,1,Jia,Scheren,Stk,3.7,3.7
AN870-ROY,Verbandschere bunt - Farbe royal königsblau-,1,Jia,Scheren,Stk,3.7,3.7
AN870-TEA,Verbandschere bunt - Farbe -Teal -,1,Jia,Scheren,Stk,3.7,3.7
AN870GAL,Verbandschere bunt -türkis-,1,Jia,Scheren,Stk,1,NULL
AN870GLA,Verbandschere bunt -hellblau-,1,Jia,Scheren,Stk,1,NULL
AN870WOR,Verbandschere bunt -lila-,1,Jia,Scheren,Stk,1,NULL
AN871-DAQ,Verbandsschere New Style -Daisies Aqua Sea-,1,Jia,Scheren,Stk,4.2,4.2
AN871-DAS,Verbandschere New Style Daisy,1,Jia,Scheren,Stk,4.2,4.2
AN871-DHP,Verbandschere Daisy Flowers Hot Pink,1,Jia,Scheren,Stk,4.2,4.2
AN871-DRY,Scherer Daisy Flower blue,1,Jia,Scheren,Stk,4.2,4.2
AN871-FSH,Schere vier Herzen,1,Jia,Scheren,Stk,4.2,4.2
AN871-LAB,Verbandschere New Style Love and Believe,1,Jia,Scheren,Stk,4.2,4.2
AN871-LCP,Schere Leopard Prist,1,Jia,Scheren,Stk,4.2,4.2
AN871-LPC,"Stylemate Schere, Stylemate",1,Jia,Scheren,Stk,1,NULL
AN871-LPG,Schere Leopard -grau-,1,Jia,Scheren,Stk,4.2,4.2
AN871-LPK,Stylemate Schere Lamas -pink-,1,Jia,Scheren,Stk,4.2,4.2
AN871-LPU,Stylemate Schere Lamas -lila-,1,Jia,Scheren,Stk,4.2,4.2
AN871-NGD,Verbandschere New Night Garden,1,Jia,Scheren,Stk,4.2,4.2
AN871-PHB,Verbandschere New Style PinkHeart,1,Jia,Scheren,Stk,4.2,4.2
AN871-PRB,Verbandschere New-Style PinkRibbons black,1,Jia,Scheren,Stk,4.2,4.2
AN871-RPK,Verbandschere New Style,1,Jia,Scheren,Stk,4.2,4.2
AN871-TPS,Schere Tai Dye pastel,1,Jia,Scheren,Stk,4.2,4.2
AN871-TRB,Schere Tai Dye rainbow,1,Jia,Scheren,Stk,4.2,4.2
AN871-UNV,Verbandsschere New Style -Unicorns violett-,1,Jia,Scheren,Stk,4.2,4.2
AN871-ZEB,Schere Zebra,1,Jia,Scheren,Stk,4.2,4.2
AN873-DAS,Verbandschere mit Metallfederclip -Daisy-,1,Jia,Scheren,Stk,6.15,6.15
AN873-PRB,Verbandschere mit Metallfederclip -pink-,1,Jia,Scheren,Stk,6.15,6.15
AN8863,"Stethoskop Littmann 3M CORE Digital , -Black-",1,Idc,Littmann - Stethoskope,Stk,279,279
AN89-DIA,Geschenkverpackung f. Diagnostikleuchten,1,U,Sonstiges,Stk,1.45,1.45
AN8M0325-47,"mediPlogs OP-Schuhe, weiss, Gr. 41",1,U,Sonstiges,Stk,1,NULL
AN8M0375-43,"mediPlogs OP-Schuhe, dunkelblau, Größe 43",1,U,Sonstiges,Stk,1,NULL
AN8M0375-44,"mediPlogs OP-Schuhe, Größ 44, -dunkelblau-",1,U,Sonstiges,Stk,1,NULL
AN8M0375-46,"mediPlogs OP-Schuhe, -blau-, Größe 46",1,U,Sonstiges,Stk,1,NULL
AN8M037537,"mediplogs - Komfort OP-Schuhe, blau, Gr. 37",1,U,Sonstiges,Stk,27.68,27.68
AN8M037543,"mediplogs - Komfort OP-Schuhe, blau, Gr. 43",1,U,Sonstiges,Stk,30.76,30.76
AN8M037546,"mediplogs - Komfort OP-Schuhe, blau, Gr. 46",1,U,Sonstiges,Stk,27.68,27.68
AN8M0376-37,"mediPlogs OP-Schuhe, fuchsia, Größe 37",1,U,Sonstiges,Stk,1,NULL
AN8M0376-39,"mediPlogs OP-Schuhe, -rot- Gr. 39",1,U,Sonstiges,Stk,1,NULL
AN8M037637,"mediPlogs OP-Schuhe, fuchsia Gr. 37",1,U,Sonstiges,Stk,30.76,30.76
